Clone ID,Mating Type /Het /Hom,Rec Number,SystematicName,SGD ID,Gene ID,Gene Symbol,Gene Description,SGD Description,transOMIC PRC,,
Mat-alpha-YNL249C  ,Mat-alpha,11195,YNL249C  ,S000005193,855472,MPA43,"Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",,MatAlpha_105_G4,,
Mat-alpha-YNL248C  ,Mat-alpha,11196,YNL248C  ,S000005192,855473,RPA49,RNA polymerase I subunit A49,,MatAlpha_105_G5,,
Mat-alpha-YNL246W  ,Mat-alpha,11198,YNL246W  ,S000005190,855475,VPS75,"NAP family histone chaperone; binds to histones and Rtt109p, stimulating histone acetyltransferase activity; possesses nucleosome assembly activity in vitro; proposed role in vacuolar protein sorting and in double-strand break repair; protein abundance increases in response to DNA replication stress; relocalizes to the cytosol in response to hypoxia",,MatAlpha_105_G6,,
Mat-alpha-YOR001W  ,Mat-alpha,11777,YOR001W  ,S000005527,854162,RRP6,"Nuclear exosome exonuclease component; has 3'-5' exonuclease activity; involved in RNA processing, maturation, surveillance, degradation, tethering, and export; binds nuclear exosome-associated nucleic acid binding protein Lrp1p in the nucleus and protects it from proteolysis; has similarity to E. coli RNase D and to human PM-Sc1 100 (EXOSC10); mutant displays reduced transcription elongation in the G-less-based run-on (GLRO) assay",,MatAlpha_105_G7,,
Mat-alpha-YOR002W  ,Mat-alpha,11778,YOR002W  ,S000005528,854163,ALG6,"Alpha 1,3 glucosyltransferase, involved in transfer of oligosaccharides from dolichyl pyrophosphate to asparagine residues of proteins during N-linked protein glycosylation; mutations in human ortholog are associated with disease",,MatAlpha_105_G8,,
Mat-alpha-YOR003W  ,Mat-alpha,11779,YOR003W  ,S000005529,854164,YSP3,"Putative precursor to the subtilisin-like protease III; YSP3 has a paralog, PRB1, that arose from the whole genome duplication",,MatAlpha_105_G9,,
Mat-alpha-YOR008C  ,Mat-alpha,11784,YOR008C  ,S000005534,854170,SLG1,Sensor-transducer of the stress-activated PKC1-MPK1 kinase pathway; involved in maintenance of cell wall integrity; required for mitophagy; involved in organization of the actin cytoskeleton; secretory pathway Wsc1p is required for the arrest of secretion response,,MatAlpha_105_H1,,
Mat-alpha-YOR016C  ,Mat-alpha,11792,YOR016C  ,S000005542,854181,ERP4,"Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; ERP4 has a paralog, ERP2, that arose from the whole genome duplication",,MatAlpha_105_H10,,
Mat-alpha-YOR017W  ,Mat-alpha,11793,YOR017W  ,S000005543,854182,PET127,"Protein with a role in 5'-end processing of mitochondrial RNAs, located in the mitochondrial membrane",,MatAlpha_105_H11,,
Mat-alpha-YOR018W  ,Mat-alpha,11794,YOR018W  ,S000005544,854183,ROD1,"Membrane protein, binds the ubiquitin ligase Rsp5p via its 2 PY motifs; overexpression confers resistance to the GST substrate o-dinitrobenzene, zinc, and calcium; proposed to regulate the endocytosis of plasma membrane proteins; protein abundance increases in response to DNA replication stress; ROD1 has a paralog, ROG3, that arose from the whole genome duplication",,MatAlpha_105_H12,,
Mat-alpha-YOR009W  ,Mat-alpha,11785,YOR009W  ,S000005535,854173,TIR4,Cell wall mannoprotein of the Srp1p/Tip1p family of serine-alanine-rich proteins; expressed under anaerobic conditions and required for anaerobic growth; transcription is also induced by cold shock,,MatAlpha_105_H2,,
Mat-alpha-YOR010C  ,Mat-alpha,11786,YOR010C  ,S000005536,854174,TIR2,"Putative cell wall mannoprotein; member of the Srp1p/Tip1p family of serine-alanine-rich proteins; transcription is induced by cold shock and anaerobiosis; TIR2 has a paralog, TIR3, that arose from the whole genome duplication",,MatAlpha_105_H4,,
Mat-alpha-YOR011W  ,Mat-alpha,11787,YOR011W  ,S000005537,854175,AUS1,"Plasma membrane sterol transporter of the ATP-binding cassette family; required, along with Pdr11p, for uptake of exogenous sterols and their incorporation into the plasma membrane; activity is stimulated by phosphatidylserine; sterol uptake is required for anaerobic growth because sterol biosynthesis requires oxygen; AUS1 has a paralog, PDR11, that arose from the whole genome duplication",,MatAlpha_105_H5,,
Mat-alpha-YOR012W  ,Mat-alpha,11788,YOR012W  ,S000005538,854177,YOR012W,Putative protein of unknown function,,MatAlpha_105_H6,,
Mat-alpha-YOR013W  ,Mat-alpha,11789,YOR013W  ,S000005539,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the uncharacterized gene YOR012C; null mutant displays increased levels of spontaneous Rad52 foci",MatAlpha_105_H7,,
Mat-alpha-YOR014W  ,Mat-alpha,11790,YOR014W  ,S000005540,854179,RTS1,"B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A catalytic subunits, Pph21p and Pph22p; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in the absence of Cdc55p; required for maintenance of septin ring organization during cytokinesis, for ring disassembly in G1 and for dephosphorylation of septin, Shs1p; homolog of the mammalian B' subunit of PP2A",,MatAlpha_105_H8,,
Mat-alpha-YOR015W  ,Mat-alpha,11791,YOR015W  ,S000005541,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_105_H9,,
Mat-alpha-YOR019W  ,Mat-alpha,11795,YOR019W  ,S000005545,854184,YOR019W,"Protein of unknown function; may interact with ribosomes, based on co-purification experiments; YOR019W has a paralog, JIP4, that arose from the whole genome duplication",,MatAlpha_106_A1,,
Mat-alpha-YOR028C  ,Mat-alpha,11804,YOR028C  ,S000005554,854193,CIN5,"Basic leucine zipper (bZIP) transcription factor of the yAP-1 family; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; mediates pleiotropic drug resistance and salt tolerance; nuclearly localized under oxidative stress and sequestered in the cytoplasm by Lot6p under reducing conditions; CIN5 has a paralog, YAP6, that arose from the whole genome duplication",,MatAlpha_106_A10,,
Mat-alpha-YOR029W  ,Mat-alpha,11805,YOR029W  ,S000005555,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_106_A11,,
Mat-alpha-YOR030W  ,Mat-alpha,11806,YOR030W  ,S000005556,854195,DFG16,Probable multiple transmembrane protein; involved in diploid invasive and pseudohyphal growth upon nitrogen starvation; is glycosylated and phosphorylated; interacts with Rim21p and Rim9p in the plasma membrane to form a pH-sensing complex in the Rim101 pathway and is required to maintain Rim21p levels; required for accumulation of processed Rim101p,,MatAlpha_106_A12,,
Mat-alpha-YOR021C  ,Mat-alpha,11797,YOR021C  ,S000005547,854186,SFM1,SPOUT methyltransferase; catalyzes omega-monomethylation of Rps3p on Arg-146; not an essential gene; predicted to be involved in rRNA processing and ribosome biogenesis and in biopolymer catabolism,,MatAlpha_106_A2,,
Mat-alpha-YOR022C  ,Mat-alpha,11798,YOR022C  ,S000005548,854187,YOR022C,"Putative carboxylic ester hydrolase; similar to bovine phospholipase A1; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies",,MatAlpha_106_A3,,
Mat-alpha-YOR023C  ,Mat-alpha,11799,YOR023C  ,S000005549,854188,AHC1,"Subunit of the Ada histone acetyltransferase complex, required for structural integrity of the complex",,MatAlpha_106_A4,,
Mat-alpha-YOR024W  ,Mat-alpha,11800,YOR024W  ,S000005550,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_106_A5,,
Mat-alpha-YOR025W  ,Mat-alpha,11801,YOR025W  ,S000005551,854190,HST3,"Member of the Sir2 family of NAD(+)-dependent protein deacetylases; involved along with Hst4p in telomeric silencing, cell cycle progression, radiation resistance, genomic stability and short-chain fatty acid metabolism",,MatAlpha_106_A7,,
Mat-alpha-YOR026W  ,Mat-alpha,11802,YOR026W  ,S000005552,854191,BUB3,"Kinetochore checkpoint WD40 repeat protein that localizes to kinetochores during prophase and metaphase, delays anaphase in the presence of unattached kinetochores; forms complexes with Mad1p-Bub1p and with Cdc20p, binds Mad2p and Mad3p",,MatAlpha_106_A8,,
Mat-alpha-YOR027W  ,Mat-alpha,11803,YOR027W  ,S000005553,854192,STI1,"Hsp90 cochaperone, interacts with the Ssa group of the cytosolic Hsp70 chaperones and activates Ssa1p ATPase activity; interacts with Hsp90 chaperones and inhibits their ATPase activity; homolog of mammalian Hop",,MatAlpha_106_A9,,
Mat-alpha-YOR031W  ,Mat-alpha,11807,YOR031W  ,S000005557,854196,CRS5,"Copper-binding metallothionein, required for wild-type copper resistance",,MatAlpha_106_B1,,
Mat-alpha-YOR040W  ,Mat-alpha,11816,YOR040W  ,S000005566,854205,GLO4,"Mitochondrial glyoxalase II; catalyzes the hydrolysis of S-D-lactoylglutathione into glutathione and D-lactate; GLO4 has a paralog, GLO2, that arose from the whole genome duplication",,MatAlpha_106_B10,,
Mat-alpha-YOR041C  ,Mat-alpha,11817,YOR041C  ,S000005567,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; not conserved in closely related Saccharomyces species; 85% of ORF overlaps the uncharacterized gene CUE5; deletion in cyr1 mutant results in loss of stress resistance",MatAlpha_106_B11,,
Mat-alpha-YOR042W  ,Mat-alpha,11818,YOR042W  ,S000005568,854206,CUE5,"Ubiquitin-binding protein; contains a CUE domain that binds ubiquitin, which may facilitate intramolecular monoubiquitination; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; CUE5 has a paralog, DON1, that arose from the whole genome duplication",,MatAlpha_106_B12,,
Mat-alpha-YOR032C  ,Mat-alpha,11808,YOR032C  ,S000005558,854197,HMS1,Basic helix-loop-helix (bHLH) protein with similarity to myc-family transcription factors; overexpression confers hyperfilamentous growth and suppresses the pseudohyphal filamentation defect of a diploid mep1 mep2 homozygous null mutant,,MatAlpha_106_B2,,
Mat-alpha-YOR033C  ,Mat-alpha,11809,YOR033C  ,S000005559,854198,EXO1,"5'-3' exonuclease and flap-endonuclease; involved in recombination, double-strand break repair and DNA mismatch repair; member of the Rad2p nuclease family, with conserved N and I nuclease domains; relative distribution to the nucleus increases upon DNA replication stress; EXO1 has a paralog, DIN7, that arose from the whole genome duplication",,MatAlpha_106_B3,,
Mat-alpha-YOR034C  ,Mat-alpha,11810,YOR034C  ,S000005560,854199,AKR2,"Ankyrin repeat-containing protein; member of a family of putative palmitoyltransferases containing an Asp-His-His-Cys-cysteine rich (DHHC-CRD) domain; possibly involved in constitutive endocytosis of Ste3p; AKR2 has a paralog, AKR1, that arose from the whole genome duplication",,MatAlpha_106_B4,,
Mat-alpha-YOR035C  ,Mat-alpha,11811,YOR035C  ,S000005561,854200,SHE4,"Protein containing a UCS (UNC-45/CRO1/SHE4) domain, binds to myosin motor domains to regulate myosin function; involved in endocytosis, polarization of the actin cytoskeleton, and asymmetric mRNA localization",,MatAlpha_106_B5,,
Mat-alpha-YOR036W  ,Mat-alpha,11812,YOR036W  ,S000005562,854201,PEP12,"Target membrane receptor (t-SNARE) for vesicular intermediates traveling between the Golgi apparatus and the vacuole; controls entry of biosynthetic, endocytic, and retrograde traffic into the prevacuolar compartment; syntaxin",,MatAlpha_106_B6,,
Mat-alpha-YOR037W  ,Mat-alpha,11813,YOR037W  ,S000005563,854202,CYC2,"Mitochondrial peripheral inner membrane protein, contains a FAD cofactor in a domain exposed in the intermembrane space; exhibits redox activity in vitro; likely participates in ligation of heme to acytochromes c and c1 (Cyc1p and Cyt1p)",,MatAlpha_106_B7,,
Mat-alpha-YOR038C  ,Mat-alpha,11814,YOR038C  ,S000005564,854203,HIR2,Subunit of HIR nucleosome assembly complex; involved in regulation of histone gene transcription; recruits Swi-Snf complexes to histone gene promoters; promotes heterochromatic gene silencing with Asf1p; relocalizes to the cytosol in response to hypoxia,,MatAlpha_106_B8,,
Mat-alpha-YOR039W  ,Mat-alpha,11815,YOR039W  ,S000005565,854204,CKB2,"Beta' regulatory subunit of casein kinase 2 (CK2), a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerase",,MatAlpha_106_B9,,
Mat-alpha-YOR043W  ,Mat-alpha,11819,YOR043W  ,S000005569,854208,WHI2,"Protein required, with binding partner Psr1p, for full activation of the general stress response, possibly through Msn2p dephosphorylation; regulates growth during the diauxic shift; negative regulator of G1 cyclin expression",,MatAlpha_106_C1,,
Mat-alpha-YOR054C  ,Mat-alpha,11830,YOR054C  ,S000005580,854220,VHS3,"Negative regulatory subunit of protein phosphatase 1 Ppz1p and also a subunit of the phosphopantothenoylcysteine decarboxylase (PPCDC; Cab3p, Sis2p, Vhs3p) complex, which catalyzes the third step of coenzyme A biosynthesis",,MatAlpha_106_C10,,
Mat-alpha-YOR055W  ,Mat-alpha,11831,YOR055W  ,S000005581,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data",MatAlpha_106_C11,,
Mat-alpha-YOR058C  ,Mat-alpha,11834,YOR058C  ,S000005584,854223,ASE1,Mitotic spindle midzone localized protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress,,MatAlpha_106_C12,,
Mat-alpha-YOR044W  ,Mat-alpha,11820,YOR044W  ,S000005570,854209,IRC23,"Putative protein of unknown function; green fluorescent protein (GFP)-fusion localizes to the ER; null mutant displays increased levels of spontaneous Rad52p foci; IRC23 has a paralog, BSC2, that arose from the whole genome duplication",,MatAlpha_106_C2,,
Mat-alpha-YOR045W  ,Mat-alpha,11821,YOR045W  ,S000005571,854210,TOM6,Component of the TOM (translocase of outer membrane) complex responsible for recognition and initial import steps for all mitochondrially directed proteins; promotes assembly and stability of the TOM complex,,MatAlpha_106_C3,,
Mat-alpha-YOR047C  ,Mat-alpha,11823,YOR047C  ,S000005573,854212,STD1,"Protein involved in control of glucose-regulated gene expression; interacts with kinase Snf1p, glucose sensors Snf3p and Rgt2p, TATA-binding Spt15p; regulator of transcription factor Rgt1p; interactions with Pma1p appear to propagate [GAR+]; STD1 has a paralog, MTH1, that arose from the whole genome duplication",,MatAlpha_106_C4,,
Mat-alpha-YOR049C  ,Mat-alpha,11825,YOR049C  ,S000005575,854214,RSB1,Suppressor of sphingoid long chain base (LCB) sensitivity of an LCB-lyase mutation; putative integral membrane transporter or flippase that may transport LCBs from the cytoplasmic side toward the extracytoplasmic side of the membrane,,MatAlpha_106_C5,,
Mat-alpha-YOR050C  ,Mat-alpha,11826,YOR050C  ,S000005576,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; null mutant is viable",MatAlpha_106_C6,,
Mat-alpha-YOR051C  ,Mat-alpha,11827,YOR051C  ,S000005577,854216,ETT1,"Nuclear protein that inhibits replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying replication of positive-strand RNA viruses in their natural hosts; deletion increases stop codon readthrough",,MatAlpha_106_C7,,
Mat-alpha-YOR052C  ,Mat-alpha,11828,YOR052C  ,S000005578,854217,YOR052C,"Nuclear protein of unknown function; expression induced by nitrogen limitation in a GLN3, GAT1-independent manner and by weak acid; transcriptionally regulated by Rpn4p along with proteasome subunit genes; putative ortholog of human AIRAP, which stimulates proteasome activity in response to arsenic; protein abundance increases in response to DNA replication stress",,MatAlpha_106_C8,,
Mat-alpha-YOR053W  ,Mat-alpha,11829,YOR053W  ,S000005579,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene VHS3/YOR054C",MatAlpha_106_C9,,
Mat-alpha-YOR059C  ,Mat-alpha,11835,YOR059C  ,S000005585,854225,YOR059C,Lipid particle protein of unknown function; contains a putative lipase serine active site; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress,,MatAlpha_106_D1,,
Mat-alpha-YOR071C  ,Mat-alpha,11847,YOR071C  ,S000005597,854237,NRT1,High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity,,MatAlpha_106_D10,,
Mat-alpha-YOR072W  ,Mat-alpha,11848,YOR072W  ,S000005598,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate, paraquat and wortmannin sensitive",MatAlpha_106_D11,,
Mat-alpha-YOR073W  ,Mat-alpha,11849,YOR073W  ,S000005599,854240,SGO1,"Component of the spindle checkpoint, involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability",,MatAlpha_106_D12,,
Mat-alpha-YOR061W  ,Mat-alpha,11837,YOR061W  ,S000005587,854227,CKA2,"Alpha' catalytic subunit of casein kinase 2 (CK2); CK2 is a Ser/Thr protein kinase with roles in cell growth and proliferation; CK2, comprised of CKA1, CKA2, CKB1 and CKB2, has many substrates including transcription factors and all RNA polymerases; protein abundance increases in response to DNA replication stress; regulates Fkh1p-mediated donor preference during mating-type switching",,MatAlpha_106_D2,,
Mat-alpha-YOR062C  ,Mat-alpha,11838,YOR062C  ,S000005588,854228,YOR062C,"Protein of unknown function; similar to Reg1p; expression regulated by glucose and Rgt1p; GFP-fusion protein is induced in response to the DNA-damaging agent MMS; YOR062C has a paralog, YKR075C, that arose from the whole genome duplication",,MatAlpha_106_D3,,
Mat-alpha-YOR064C  ,Mat-alpha,11840,YOR064C  ,S000005590,854230,YNG1,"Subunit of the NuA3 histone acetyltransferase complex that acetylates histone H3; contains PHD finger domain that interacts with methylated histone H3, has similarity to the human tumor suppressor ING1",,MatAlpha_106_D4,,
Mat-alpha-YOR066W  ,Mat-alpha,11842,YOR066W  ,S000005592,854232,MSA1,"Activator of G1-specific transcription factors MBF and SBF; involved in regulation of the timing of G1-specific gene transcription and cell cycle initiation; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation; MSA1 has a paralog, MSA2, that arose from the whole genome duplication",,MatAlpha_106_D5,,
Mat-alpha-YOR067C  ,Mat-alpha,11843,YOR067C  ,S000005593,854233,ALG8,"Glucosyl transferase, involved in N-linked glycosylation; adds glucose to the dolichol-linked oligosaccharide precursor prior to transfer to protein during lipid-linked oligosaccharide biosynthesis; similar to Alg6p",,MatAlpha_106_D6,,
Mat-alpha-YOR068C  ,Mat-alpha,11844,YOR068C  ,S000005594,854234,VAM10,Protein involved in vacuole morphogenesis; acts at an early step of homotypic vacuole fusion that is required for vacuole tethering,,MatAlpha_106_D7,,
Mat-alpha-YOR069W  ,Mat-alpha,11845,YOR069W  ,S000005595,854235,VPS5,"Nexin-1 homolog; required for localizing membrane proteins from a prevacuolar/late endosomal compartment back to late Golgi; structural component of retromer membrane coat complex; forms a retromer subcomplex with Vps17p; required for recruiting the retromer complex to the endosome membranes; VPS5 has a paralog, YKR078W, that arose from the whole genome duplication",,MatAlpha_106_D8,,
Mat-alpha-YOR070C  ,Mat-alpha,11846,YOR070C  ,S000005596,854236,GYP1,"Cis-golgi GTPase-activating protein (GAP) for the Rab family members Ypt1p (in vivo) and for Ypt1p, Sec4p, Ypt7p, and Ypt51p (in vitro); involved in vesicle docking and fusion",,MatAlpha_106_D9,,
Mat-alpha-YOR076C  ,Mat-alpha,11852,YOR076C  ,S000005602,854243,SKI7,"Coupling protein for the Ski complex and cytoplasmic exosome; involved in 3'-5' RNA degradation; eRF3-like domain targets nonstop mRNA for degradation; null mutants have superkiller phenotype; SKI7 has a paralog, HBS1, that arose from the whole genome duplication",,MatAlpha_106_E1,,
Mat-alpha-YOR086C  ,Mat-alpha,11862,YOR086C  ,S000005612,854253,TCB1,"Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p, Scs2p, Scs22p, Tcb1p, Tcb2p, Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p, Tcb2p and Tcb3p interact; TCB1 has a paralog, TCB2, that arose from the whole genome duplication",,MatAlpha_106_E10,,
Mat-alpha-YOR087W  ,Mat-alpha,11863,YOR087W  ,S000005613,854255,YVC1,"Vacuolar cation channel, mediates release of Ca(2+) from the vacuole in response to hyperosmotic shock",,MatAlpha_106_E11,,
Mat-alpha-YOR078W  ,Mat-alpha,11854,YOR078W  ,S000005604,854245,BUD21,Component of small ribosomal subunit (SSU) processosome that contains U3 snoRNA; originally isolated as bud-site selection mutant that displays a random budding pattern,,MatAlpha_106_E2,,
Mat-alpha-YOR079C  ,Mat-alpha,11855,YOR079C  ,S000005605,854246,ATX2,"Golgi membrane protein involved in manganese homeostasis; overproduction suppresses the sod1 (copper, zinc superoxide dismutase) null mutation",,MatAlpha_106_E3,,
Mat-alpha-YOR080W  ,Mat-alpha,11856,YOR080W  ,S000005606,854247,DIA2,"Origin-binding F-box protein; forms an SCF ubiquitin ligase complex with Skp1p and Cdc53p; plays a role in DNA replication; plays a role in transcription; required for correct assembly of RSC complex, correct RSC-mediated transcription regulation, and correct nucleosome positioning; involved in invasive and pseudohyphal growth; required to target Cdc6p for ubiquitin-mediated destruction during G1 phase",,MatAlpha_106_E4,,
Mat-alpha-YOR081C  ,Mat-alpha,11857,YOR081C  ,S000005607,854248,TGL5,"Bifunctional lipase/acyltransferase; enzyme with triacylglycerol lipase and lysophosphatidic acid acyltransferase activity; involved in triacylglycerol mobilization; localizes to lipid particles; potential Cdc28p substrate; TGL5 has a paralog, TGL4, that arose from the whole genome duplication",,MatAlpha_106_E5,,
Mat-alpha-YOR082C  ,Mat-alpha,11858,YOR082C  ,S000005608,,,,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene YOR083W",MatAlpha_106_E6,,
Mat-alpha-YOR083W  ,Mat-alpha,11859,YOR083W  ,S000005609,854249,WHI5,"Repressor of G1 transcription; binds to SCB binding factor (SBF) at SCB target promoters in early G1; phosphorylation of Whi5p by the CDK, Cln3p/Cdc28p relieves repression and promoter binding by Whi5; periodically expressed in G1; WHI5 has a paralog, SRL3, that arose from the whole genome duplication",,MatAlpha_106_E7,,
Mat-alpha-YOR084W  ,Mat-alpha,11860,YOR084W  ,S000005610,854251,LPX1,"Oleic acid-inducible, peroxisomal matrix localized lipase; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance; peroxisomal import is dependent on the PTS1 receptor, Pex5p and on self-interaction",,MatAlpha_106_E8,,
Mat-alpha-YOR085W  ,Mat-alpha,11861,YOR085W  ,S000005611,854252,OST3,"Gamma subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; Ost3p is important for N-glycosylation of a subset of proteins",,MatAlpha_106_E9,,
Mat-alpha-YOR089C  ,Mat-alpha,11865,YOR089C  ,S000005615,854256,VPS21,"Endosomal Rab family GTPase; required for endocytic transport and sorting of vacuolar hydrolases; required for endosomal localization of the CORVET complex; required with YPT52 for MVB biogenesis and sorting; involved in autophagy and ionic stress tolerance; geranylgeranylation required for membrane association; protein abundance increases in response to DNA replication stress; mammalian Rab5 homolog; VPS21 has a paralog, YPT53, that arose from the whole genome duplication",,MatAlpha_106_F1,,
Mat-alpha-YOR292C  ,Mat-alpha,11588,YOR292C  ,S000005818,854467,YOR292C,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YOR292C is not an essential gene,,MatAlpha_106_F10,,
Mat-alpha-YOR293W  ,Mat-alpha,11589,YOR293W  ,S000005819,854468,RPS10A,"Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S10, no bacterial homolog; RPS10A has a paralog, RPS10B, that arose from the whole genome duplication",,MatAlpha_106_F11,,
Mat-alpha-YOR295W  ,Mat-alpha,11591,YOR295W  ,S000005821,854470,UAF30,"Subunit of UAF (upstream activation factor); UAF is an RNA polymerase I specific transcription stimulatory factor composed of Uaf30p, Rrn5p, Rrn9p, Rrn10p, histones H3 and H4; deletion decreases cellular growth rate; UAF30 has a paralog, TRI1, that arose from the whole genome duplication",,MatAlpha_106_F12,,
Mat-alpha-YOR090C  ,Mat-alpha,11866,YOR090C  ,S000005616,854257,PTC5,Mitochondrial type 2C protein phosphatase (PP2C) involved in regulation of pyruvate dehydrogenase activity by dephosphorylating the serine 133 of the Pda1p subunit; localizes to the intermembrane space and is imported via the presequence pathway and processed by the inner membrane protease (Imp1p-Imp2p); acts in concert with kinases Pkp1p and Pkp2p and phosphatase Ptc6p,,MatAlpha_106_F2,,
Mat-alpha-YOR091W  ,Mat-alpha,11867,YOR091W  ,S000005617,854258,TMA46,Protein of unknown function that associates with translating ribosomes; interacts with GTPase Rbg1p,,MatAlpha_106_F3,,
Mat-alpha-YOR092W  ,Mat-alpha,11868,YOR092W  ,S000005618,854259,ECM3,"Non-essential protein of unknown function; involved in signal transduction and the genotoxic response; induced rapidly in response to treatment with 8-methoxypsoralen and UVA irradiation; relocalizes from ER to cytoplasm upon DNA replication stress; ECM3 has a paralog, YNL095C, that arose from the whole genome duplication",,MatAlpha_106_F4,,
Mat-alpha-YOR093C  ,Mat-alpha,11869,YOR093C  ,S000005619,854260,YOR093C,Putative protein of unknown function; deletion causes sensitivity to unfolded protein response-inducing agents,,MatAlpha_106_F5,,
Mat-alpha-YOR094W  ,Mat-alpha,11870,YOR094W  ,S000005620,854261,ARF3,"Glucose-repressible ADP-ribosylation factor, GTPase of the Ras superfamily involved in development of polarity; also has mRNA binding activity",,MatAlpha_106_F6,,
Mat-alpha-YOR289W  ,Mat-alpha,11585,YOR289W  ,S000005815,854463,YOR289W,Putative protein of unknown function; transcription induced by the unfolded protein response; green fluorescent protein (GFP)-fusion protein localizes to both the cytoplasm and the nucleus,,MatAlpha_106_F7,,
Mat-alpha-YER070W  ,Mat-alpha,10210,YER070W  ,S000000872,856801,RNR1,"Major isoform of large subunit of ribonucleotide-diphosphate reductase; the RNR complex catalyzes rate-limiting step in dNTP synthesis, regulated by DNA replication and DNA damage checkpoint pathways via localization of small subunits; relative distribution to the nucleus increases upon DNA replication stress; RNR1 has a paralog, RNR3, that arose from the whole genome duplication",,MatAlpha_106_F8,,
Mat-alpha-YOR291W  ,Mat-alpha,11587,YOR291W  ,S000005817,854466,YPK9,"Vacuolar protein with a possible role in sequestering heavy metals; has similarity to the type V P-type ATPase Spf1p; homolog of human ATP13A2 (PARK9), mutations in which are associated with Parkinson disease and Kufor-Rakeb syndrome",,MatAlpha_106_F9,,
Mat-alpha-YOR296W  ,Mat-alpha,11592,YOR296W  ,S000005822,854471,YOR296W,Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; expressed during copper starvation; YOR296W is not an essential gene,,MatAlpha_106_G1,,
Mat-alpha-YOR307C  ,Mat-alpha,11604,YOR307C  ,S000005834,854484,SLY41,Protein involved in ER-to-Golgi transport,,MatAlpha_106_G10,,
Mat-alpha-YOR308C  ,Mat-alpha,11605,YOR308C  ,S000005835,854485,SNU66,Component of the U4/U6.U5 snRNP complex involved in pre-mRNA splicing via spliceosome; also required for pre-5S rRNA processing and may act in concert with Rnh70p; has homology to human SART-1,,MatAlpha_106_G11,,
Mat-alpha-YOR311C  ,Mat-alpha,11608,YOR311C  ,S000005838,854488,DGK1,"Diacylglycerol kinase, localized to the endoplasmic reticulum (ER); overproduction induces enlargement of ER-like membrane structures and suppresses a temperature-sensitive sly1 mutation; contains a CTP transferase domain",,MatAlpha_106_G12,,
Mat-alpha-YOR297C  ,Mat-alpha,11593,YOR297C  ,S000005823,854472,TIM18,Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane; may mediate assembly or stability of the complex,,MatAlpha_106_G2,,
