Clone ID,Mating Type /Het /Hom,Rec Number,SystematicName,SGD ID,Gene ID,Gene Symbol,Gene Description,SGD Description,transOMIC PRC
MATa-YDL014W,Mat-a,23710,YDL014W,S000002172,851548,NOP1,"Nucleolar protein, component of the small subunit processome complex, which is required for processing of pre-18S rRNA; has similarity to mammalian fibrillarin",NA,3 G_2
MATa-YDL028C,Mat-a,23724,YDL028C,S000002186,851533,MPS1,"Dual-specificity kinase; required for spindle pole body (SPB) duplication and spindle checkpoint function; substrates include SPB proteins Spc42p, Spc110p, and Spc98p, mitotic exit network protein Mob1p, kinetochore protein Cnn1p, and checkpoint protein Mad1p",NA,3 G_6
MATa-YDL029W,Mat-a,23725,YDL029W,S000002187,851532,ARP2,"Essential component of the Arp2/3 complex, which is a highly conserved actin nucleation center required for the motility and integrity of actin patches; involved in endocytosis and membrane growth and polarity",NA,3 G_7
MATa-YDL030W,Mat-a,23726,YDL030W,S000002188,851531,PRP9,"Subunit of the SF3a splicing factor complex, required for spliceosome assembly; acts after the formation of the U1 snRNP-pre-mRNA complex",NA,3 G_8
MATa-YDL031W,Mat-a,NA,YDL031W,NA,NA,DBP10,NA,NA,3 G_9
MATa-YDL043C,Mat-a,23739,YDL043C,S000002201,851518,PRP11,"Subunit of the SF3a splicing factor complex, required for spliceosome assembly",NA,3 G_10
MATa-YDL055C,Mat-a,23752,YDL055C,S000002213,851504,PSA1,"GDP-mannose pyrophosphorylase (mannose-1-phosphate guanyltransferase), synthesizes GDP-mannose from GTP and mannose-1-phosphate in cell wall biosynthesis; required for normal cell wall structure",NA,3 G_12
MATa-YDL060W,Mat-a,23757,YDL060W,S000002218,851499,TSR1,Protein required for processing of 20S pre-rRNA in the cytoplasm; associates with pre-40S ribosomal particles; inhibits the premature association of 60S subunits with assembling 40S subunits in the cytoplasm; similar to Bms1p; relocalizes from nucleus to cytoplasm upon DNA replication stress,NA,3 H_1
MATa-YDL087C,Mat-a,23784,YDL087C,S000002245,851471,LUC7,Essential protein associated with the U1 snRNP complex; splicing factor involved in recognition of 5' splice site; contains two zinc finger motifs; N-terminal zinc finger binds pre-mRNA; relocalizes to the cytosol in response to hypoxia,NA,3 H_3
MATa-YDL097C,Mat-a,23794,YDL097C,S000002255,851461,RPN6,"Essential, non-ATPase regulatory subunit of the 26S proteasome lid; required for the assembly and activity of the 26S proteasome; the human homolog (S9 protein) partially rescues Rpn6p depletion; protein abundance increases in response to DNA replication stress",NA,3 H_5
MATa-YDL098C,Mat-a,23795,YDL098C,S000002256,851460,SNU23,Component of U4/U6.U5 snRNP involved in mRNA splicing via spliceosome,NA,3 H_6
MATa-YDL102W,Mat-a,NA,YDL102W,NA,NA,CDC2,NA,NA,3 H_7
MATa-YDL103C,Mat-a,23800,YDL103C,S000002261,851455,QRI1,"UDP-N-acetylglucosamine pyrophosphorylase; catalyzes the formation of UDP-N-acetylglucosamine (UDP-GlcNAc), which is important in cell wall biosynthesis, protein N-glycosylation, and GPI anchor biosynthesis; protein abundance increases in response to DNA replication stress",NA,3 H_8
MATa-YDL105W,Mat-a,NA,YDL105W,NA,NA,QRI2,NA,NA,3 H_9
MATa-YDL108W,Mat-a,23805,YDL108W,S000002266,851450,KIN28,"Serine/threonine protein kinase, subunit of transcription factor TFIIH; involved in transcription initiation at RNA polymerase II promoters; relocalizes to the cytosol in response to hypoxia",NA,3 H_10
MATa-YDL111C,Mat-a,23808,YDL111C,S000002269,851447,RRP42,Exosome non-catalytic core component; involved in 3'-5' RNA processing and degradation in both the nucleus and the cytoplasm; has similarity to E. coli RNase PH and to human hRrp42p (EXOSC7),NA,3 H_11
MATa-YDL120W,Mat-a,23817,YDL120W,S000002278,851437,YFH1,Mitochondrial matrix iron chaperone; oxidizes and stores iron; interacts with Isu1p to promote Fe-S cluster assembly; mutation results in multiple Fe/S-dependent enzyme deficiencies; human frataxin homolog is mutated in Friedrich's ataxia,NA,3 H_12
MATa-YDL126C,Mat-a,23823,YDL126C,S000002284,851431,CDC48,"AAA ATPase involved in multiple processes; subunit of polyubiquitin-selective segregase complex involved in ERAD, cell wall integrity during heat stress, mitotic spindle disassembly; subunit of complex involved in mitochondria-associated degradation; role in mobilizing membrane bound transcription factors by regulated ubiquitin/proteasome-dependent processing; roles in macroautophagy, PMN, RAD, ribophagy, and homotypic ER membrane fusion; functional ortholog of human p97/VCP",NA,4 A_1
MATa-YDL139C,Mat-a,23837,YDL139C,S000002298,851416,SCM3,"Nonhistone component of centromeric chromatin; binds to histone H3 variant, Cse4p, and recruits it to centromeres; involved in the assembly and maintenance of Cse4-H4 at centromeres; required for kinetochore assembly and G2/M progression; may protect Cse4p from ubiquitylation; homolog of mammalian HJURP",NA,4 A_2
MATa-YDL143W,Mat-a,23841,YDL143W,S000002302,851412,CCT4,"Subunit of the cytosolic chaperonin Cct ring complex, related to Tcp1p, required for the assembly of actin and tubulins in vivo",NA,4 A_4
MATa-YDL147W,Mat-a,23845,YDL147W,S000002306,851408,RPN5,"Subunit of the COP9 signalosome (CSN) and non-ATPase regulatory subunit of the 26S proteasome lid, similar to mammalian p55 subunit and to another S. cerevisiae regulatory subunit, Rpn7p; Rpn5p is an essential protein",NA,4 A_6
MATa-YDL148C,Mat-a,23846,YDL148C,S000002307,851407,NOP14,"Nucleolar protein, forms a complex with Noc4p that mediates maturation and nuclear export of 40S ribosomal subunits; also present in the small subunit processome complex, which is required for processing of pre-18S rRNA",NA,4 A_7
MATa-YDL150W,Mat-a,23848,YDL150W,S000002309,851404,RPC53,RNA polymerase III subunit C53,NA,4 A_8
MATa-YDL152W,Mat-a,23850,YDL152W,NA,NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified ORF SAS10/YDL153C, a component of the small ribosomal subunit processosome",4 A_9
MATa-YDL153C,Mat-a,23851,YDL153C,S000002312,851403,SAS10,Essential subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit; disrupts silencing when overproduced; mutant has increased aneuploidy tolerance,NA,4 A_10
MATa-YDL163W,Mat-a,23861,YDL163W,NA,NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene CDC9/YDL164C encoding DNA ligase",4 A_11
MATa-YDL165W,Mat-a,23863,YDL165W,S000002324,851389,CDC36,"Component of the CCR4-NOT complex, which has multiple roles in regulating mRNA levels including regulation of transcription and destabilizing mRNAs by deadenylation; basal transcription factor",NA,4 B_1
MATa-YDL193W,Mat-a,NA,YDL193W,NA,NA,YDL193W,NA,NA,4 B_3
MATa-YDL195W,Mat-a,23893,YDL195W,S000002354,851332,SEC31,"Component of the Sec13p-Sec31p complex of the COPII vesicle coat, required for vesicle formation in ER to Golgi transport; mutant has increased aneuploidy tolerance",NA,4 B_4
MATa-YDL205C,Mat-a,23903,YDL205C,S000002364,851322,HEM3,"Porphobilinogen deaminase, catalyzes the conversion of 4-porphobilinogen to hydroxymethylbilane, the third step in heme biosynthesis; localizes to the cytoplasm and nucleus; expression is regulated by Hap2p-Hap3p, but not by levels of heme",NA,4 B_6
MATa-YDL207W,Mat-a,23905,YDL207W,S000002366,851320,GLE1,"Cytoplasmic nucleoporin required for polyadenylated mRNA export; contains a nuclear export signal; when bound to inositol hexakisphosphate (IP6), functions as an activator for the Dbp5p ATPase activity at the nuclear pore complex during mRNA export; mediates translation initiation; required for efficient translation termination",NA,4 B_7
MATa-YDL208W,Mat-a,23906,YDL208W,S000002367,851319,NHP2,"Nuclear protein related to mammalian high mobility group (HMG) proteins, essential for function of H/ACA-type snoRNPs, which are involved in 18S rRNA processing",NA,4 B_8
MATa-YDL209C,Mat-a,23907,YDL209C,S000002368,851318,CWC2,"Member of the NineTeen Complex (NTC) that contains Prp19p and stabilizes U6 snRNA in catalytic forms of the spliceosome containing U2, U5, and U6 snRNAs; binds directly to U6 snRNA; similar to S. pombe Cwf2",NA,4 B_9
MATa-YDL212W,Mat-a,23910,YDL212W,S000002371,851314,SHR3,"Endoplasmic reticulum packaging chaperone, required for incorporation of amino acid permeases into COPII coated vesicles for transport to the cell surface",NA,4 B_10
MATa-YDL217C,Mat-a,23915,YDL217C,S000002376,851309,TIM22,Essential core component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane; forms the channel through which proteins are imported,NA,4 B_11
MATa-YDL220C,Mat-a,23918,YDL220C,S000002379,851306,CDC13,"Single stranded DNA-binding protein found at TG1-3 telomere G-tails; key roles in regulation of telomerase, telomere end protection, and conventional telomere replication; regulates telomere replication through recruitment of specific sub-complexes, but the essential function is telomere capping; autophagy and proteasome are involved in Cdc13p degradation; differentially phosphorylated as a function of cell cycle stage",NA,4 B_12
MATa-YDL221W,Mat-a,23919,YDL221W,NA,NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the 3' end of essential gene CDC13",4 C_1
MATa-YDL235C,Mat-a,23932,YDL235C,S000002394,851363,YPD1,"Phosphorelay intermediate protein, phosphorylated by the plasma membrane sensor Sln1p in response to osmotic stress and then in turn phosphorylates the response regulators Ssk1p in the cytosol and Skn7p in the nucleus",NA,4 C_2
MATa-YDR013W,Mat-a,23952,YDR013W,S000002420,851576,PSF1,"Subunit of the GINS complex (Sld5p, Psf1p, Psf2p, Psf3p), which is localized to DNA replication origins and implicated in assembly of the DNA replication machinery",NA,4 C_4
MATa-YDR021W,Mat-a,23960,YDR021W,S000002428,851584,FAL1,"Nucleolar protein required for maturation of 18S rRNA, member of the eIF4A subfamily of DEAD-box ATP-dependent RNA helicases",NA,4 C_5
MATa-YDR037W,Mat-a,23976,YDR037W,S000002444,851607,KRS1,Lysyl-tRNA synthetase,NA,4 C_7
MATa-YDR041W,Mat-a,27203,YDR041W,S000002448,851611,RSM10,"Mitochondrial ribosomal protein of the small subunit, has similarity to E. coli S10 ribosomal protein; essential for viability, unlike most other mitoribosomal proteins",NA,4 C_8
MATa-YDR044W,Mat-a,23980,YDR044W,S000002451,851614,HEM13,"Coproporphyrinogen III oxidase, an oxygen requiring enzyme that catalyzes the sixth step in the heme biosynthetic pathway; transcription is repressed by oxygen and heme (via Rox1p and Hap1p)",NA,4 C_9
MATa-YDR045C,Mat-a,23981,YDR045C,S000002452,851615,RPC11,RNA polymerase III subunit C11; mediates pol III RNA cleavage activity and is important for termination of transcription; homologous to TFIIS,NA,4 C_10
MATa-YDR047W,Mat-a,23983,YDR047W,S000002454,851617,HEM12,"Uroporphyrinogen decarboxylase, catalyzes the fifth step in the heme biosynthetic pathway; localizes to both the cytoplasm and nucleus; a hem12 mutant has phenotypes similar to patients with porphyria cutanea tarda",NA,4 C_11
MATa-YDR052C,Mat-a,23988,YDR052C,S000002459,851623,DBF4,Regulatory subunit of Cdc7p-Dbf4p kinase complex; required for Cdc7p kinase activity and initiation of DNA replication; phosphorylates the Mcm2-7 family of proteins; cell cycle regulated; relative distribution to the nucleus increases upon DNA replication stress,NA,4 C_12
MATa-YDR053W,Mat-a,23989,YDR053W,NA,NA,NA,NA,Putative protein of unknown function; open reading frame overlaps 5' end of essential DBF4 gene encoding the regulatory subunit of the Cdc7p-Dbf4p kinase complex,4 D_1
MATa-YDR054C,Mat-a,23990,YDR054C,S000002461,851624,CDC34,"Ubiquitin-conjugating enzyme (E2); catalytic subunit of SCF ubiquitin-protein ligase complex (together with Skp1p, Rbx1p, Cdc53p, and an F-box protein) that regulates cell cycle progression by targeting key substrates for degradation; protein abundance increases in response to DNA replication stress",NA,4 D_2
MATa-YDR060W,Mat-a,23995,YDR060W,S000002467,851632,MAK21,"Constituent of 66S pre-ribosomal particles, required for large (60S) ribosomal subunit biogenesis; involved in nuclear export of pre-ribosomes; required for maintenance of dsRNA virus; homolog of human CAATT-binding protein",NA,4 D_3
MATa-YDR062W,Mat-a,23997,YDR062W,S000002469,851634,LCB2,"Component of serine palmitoyltransferase, responsible along with Lcb1p for the first committed step in sphingolipid synthesis, which is the condensation of serine with palmitoyl-CoA to form 3-ketosphinganine",NA,4 D_4
MATa-YDR082W,Mat-a,24017,YDR082W,S000002489,851655,STN1,"Telomere end-binding and capping protein, plays a key role with Pol12p in linking telomerase action with completion of lagging strand synthesis, and in a regulatory step required for telomere capping",NA,4 D_7
MATa-YDR087C,Mat-a,24022,YDR087C,S000002494,851660,RRP1,"Essential evolutionarily conserved nucleolar protein necessary for biogenesis of 60S ribosomal subunits and processing of pre-rRNAs to mature rRNAs, associated with several distinct 66S pre-ribosomal particles",NA,4 D_9
MATa-YDR091C,Mat-a,24026,YDR091C,S000002498,851665,RLI1,Essential iron-sulfur protein required for ribosome biogenesis and translation initiation and termination; facilitates binding of a multifactor complex (MFC) of initiation factors to the small ribosomal subunit; predicted ABC family ATPase; forms a complex with Lto1p and Yae1p that may be involved in protection of the ribosome from damage due to reactive oxygen species,NA,4 D_10
MATa-YDR113C,Mat-a,24047,YDR113C,S000002520,851691,PDS1,"Securin, inhibits anaphase by binding separin Esp1p; blocks cyclin destruction and mitotic exit, essential for meiotic progression and mitotic cell cycle arrest; localization is cell-cycle dependent and regulated by Cdc28p phosphorylation",NA,4 D_11
MATa-YDR118W,Mat-a,24052,YDR118W,S000002525,851696,APC4,"Subunit of the Anaphase-Promoting Complex/Cyclosome (APC/C); APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; relative distribution to the nucleus increases upon DNA replication stress",NA,4 D_12
MATa-YDR141C,Mat-a,24075,YDR141C,S000002548,851719,DOP1,"Golgi-localized, leucine-zipper domain containing protein; involved in endosome to Golgi transport, organization of the ER, establishing cell polarity, and morphogenesis; detected in highly purified mitochondria in high-throughput studies",NA,4 E_1
MATa-YDR160W,Mat-a,23518,YDR160W,S000002567,851738,SSY1,"Component of the SPS plasma membrane amino acid sensor system (Ssy1p-Ptr3p-Ssy5p), which senses external amino acid concentration and transmits intracellular signals that result in regulation of expression of amino acid permease genes",NA,4 E_2
MATa-YDR164C,Mat-a,23522,YDR164C,S000002571,851742,SEC1,Sm-like protein involved in docking and fusion of exocytic vesicles; binds to assembled SNARE complexes at the membrane and stimulates membrane fusion; localization to sites of secretion (bud neck and bud tip) is dependent on SNARE function,NA,4 E_3
MATa-YDR166C,Mat-a,23524,YDR166C,S000002573,851744,SEC5,Essential 107kDa subunit of the exocyst complex; the exocyst mediates polarized targeting and tethering of post-Golgi secretory vesicles to active sites of exocytosis at the plasma membrane prior to SNARE-mediated fusion; involved in assembly of the exocyst complex; required with Sec3p for ER inheritance where it promotes anchoring of the cortical ER at the bud tip,NA,4 E_4
MATa-YDR167W,Mat-a,23525,YDR167W,S000002574,851745,TAF10,"Subunit (145 kDa) of TFIID and SAGA complexes, involved in RNA polymerase II transcription initiation and in chromatin modification",NA,4 E_5
MATa-YDR168W,Mat-a,23526,YDR168W,S000002575,851746,CDC37,Essential Hsp90p co-chaperone; necessary for passage through the START phase of the cell cycle; stabilizes protein kinase nascent chains and participates along with Hsp90p in their folding,NA,4 E_6
MATa-YDR170C,Mat-a,23528,YDR170C,S000002577,851748,SEC7,"Guanine nucleotide exchange factor (GEF) for ADP ribosylation factors involved in proliferation of the Golgi, intra-Golgi transport and ER-to-Golgi transport; found in the cytoplasm and on Golgi-associated coated vesicles",NA,4 E_7
MATa-YDR172W,Mat-a,23530,YDR172W,S000002579,851752,SUP35,"Translation termination factor eRF3, has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that alters translational fidelity and results in a nonsense suppressor phenotype",NA,4 E_8
MATa-YDR177W,Mat-a,23535,YDR177W,S000002584,851757,UBC1,Ubiquitin-conjugating enzyme; mediates selective degradation of short-lived and abnormal proteins; plays a role in vesicle biogenesis and ER-associated protein degradation (ERAD); component of the cellular stress response; protein abundance increases in response to DNA replication stress,NA,4 E_9
MATa-YDR180W,Mat-a,23539,YDR180W,S000002588,851761,SCC2,Subunit of cohesin loading factor (Scc2p-Scc4p); a complex required for loading of cohesin complexes onto chromosomes; involved in establishing sister chromatid cohesion during DSB repair via histone H2AX; evolutionarily-conserved adherin; relocalizes to the cytosol in response to hypoxia,NA,4 E_10
MATa-YDR182W,Mat-a,23541,YDR182W,S000002590,851763,CDC1,Putative lipid phosphatase of the endoplasmic reticulum; shows Mn2+ dependence and may affect Ca2+ signaling; mutants display actin and general growth defects and pleiotropic defects in cell cycle progression and organelle distribution,NA,4 E_11
MATa-YDR187C,Mat-a,23546,YDR187C,NA,NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified, essential ORF CCT6/YDR188W",4 E_12
MATa-YDR189W,Mat-a,23548,YDR189W,S000002597,851770,SLY1,Hydrophilic protein involved in vesicle trafficking between the ER and Golgi; SM (Sec1/Munc-18) family protein that binds the tSNARE Sed5p and stimulates its assembly into a trans-SNARE membrane-protein complex,NA,4 F_2
MATa-YDR190C,Mat-a,23549,YDR190C,S000002598,851771,RVB1,"ATP-dependent DNA helicase, also known as pontin; member of the AAA+ and RuvB-like protein families; similar to Rvb2p; conserved component of multiple complexes including the INO80 complex, the Swr1 complex, and the R2TP complex (Rvb1-Rvb2-Tah1-Pih1); involved in multiple processes such as chromatin remodeling, box C/D snoRNP assembly, and RNA polymerase II assembly",NA,4 F_3
MATa-YDR201W,Mat-a,23560,YDR201W,S000002609,851782,SPC19,"Essential subunit of the Dam1 complex (aka DASH complex), couples kinetochores to the force produced by MT depolymerization thereby aiding in chromosome segregation; also localized to nuclear side of spindle pole body",NA,4 F_5
MATa-YDR208W,Mat-a,23567,YDR208W,S000002616,851789,MSS4,"Phosphatidylinositol-4-phosphate 5-kinase, involved in actin cytoskeleton organization and cell morphogenesis; multicopy suppressor of stt4 mutation",NA,4 F_6
MATa-YDR211W,Mat-a,23570,YDR211W,S000002619,851797,GCD6,Catalytic epsilon subunit of the translation initiation factor eIF2B; eIF2B is the guanine-nucleotide exchange factor for eIF2; activity subsequently regulated by phosphorylated eIF2; first identified as a negative regulator of GCN4 expression; forms cytoplasmic foci upon DNA replication stress,NA,4 F_7
MATa-YDR212W,Mat-a,23571,YDR212W,S000002620,851798,TCP1,"Alpha subunit of chaperonin-containing T-complex, which mediates protein folding in the cytosol; involved in actin cytoskeleton maintenance; overexpression in neurons suppresses formation of pathogenic conformations of huntingtin protein",NA,4 F_8
MATa-YDR224C,Mat-a,23583,YDR224C,S000002632,851810,HTB1,"Histone H2B, core histone protein required for chromatin assembly and chromosome function; nearly identical to HTB2; Rad6p-Bre1p-Lge1p mediated ubiquitination regulates transcriptional activation, meiotic DSB formation and H3 methylation",NA,4 F_9
MATa-YDR228C,Mat-a,23587,YDR228C,S000002636,851814,PCF11,"mRNA 3' end processing factor; essential component of cleavage and polyadenylation factor IA (CF IA), involved in pre-mRNA 3' end processing and in transcription termination; binds C-terminal domain of largest subunit of RNA pol II (Rpo21p); required for gene looping; relocalizes to the cytosol in response to hypoxia",NA,4 F_10
MATa-YDR232W,Mat-a,23591,YDR232W,S000002640,851818,HEM1,"5-aminolevulinate synthase, catalyzes the first step in the heme biosynthetic pathway; an N-terminal signal sequence is required for localization to the mitochondrial matrix; expression is regulated by Hap2p-Hap3p",NA,4 F_11
MATa-YDR238C,Mat-a,23597,YDR238C,S000002646,851824,SEC26,"Essential beta-coat protein of the COPI coatomer, involved in ER-to-Golgi protein trafficking and maintenance of normal ER morphology; shares 43% sequence identity with mammalian beta-coat protein (beta-COP)",NA,4 G_2
MATa-YDR240C,Mat-a,23599,YDR240C,S000002648,851827,SNU56,"Component of U1 snRNP required for mRNA splicing via spliceosome; yeast specific, no metazoan counterpart; interacts with mRNA in commitment complex",NA,4 G_3
MATa-YDR243C,Mat-a,23602,YDR243C,S000002651,851830,PRP28,"RNA helicase in the DEAD-box family, involved in RNA isomerization at the 5' splice site",NA,4 G_4
MATa-YDR246W,Mat-a,23605,YDR246W,S000002654,851833,TRS23,One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic; human homolog is TRAPPC4,NA,4 G_5
MATa-YDR267C,Mat-a,NA,YDR267C,NA,NA,YDR267C,NA,NA,4 G_6
MATa-YDR288W,Mat-a,23647,YDR288W,S000002696,851882,NSE3,Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; protein abundance increases in response to DNA replication stress,NA,4 G_8
MATa-YDR292C,Mat-a,23651,YDR292C,S000002700,851886,SRP101,"Signal recognition particle (SRP) receptor alpha subunit; contain GTPase domains; involved in SRP-dependent protein targeting; interacts with the beta subunit, Srp102p",NA,4 G_9
MATa-YDR299W,Mat-a,23658,YDR299W,S000002707,851893,BFR2,Essential protein that is a component of 90S preribosomes; may be involved in rRNA processing; multicopy suppressor of sensitivity to Brefeldin A; expression is induced during lag phase and also by cold shock,NA,4 G_10
MATa-YDR301W,Mat-a,23660,YDR301W,S000002709,851895,CFT1,"RNA-binding subunit of the mRNA cleavage and polyadenylation factor; involved in poly(A) site recognition and required for both pre-mRNA cleavage and polyadenylation, 51% sequence similarity with mammalian AAUAA-binding subunit of CPSF",NA,4 G_11
MATa-YDR302W,Mat-a,23661,YDR302W,S000002710,851896,GPI11,ER membrane protein involved in a late step of glycosylphosphatidylinositol (GPI) anchor assembly; involved in the addition of phosphoethanolamine to the multiply mannosylated GPI intermediate; human PIG-Fp is a functional homolog,NA,4 G_12
MATa-YDR308C,Mat-a,23667,YDR308C,S000002716,851903,SRB7,Subunit of the RNA polymerase II mediator complex; associates with core polymerase subunits to form the RNA polymerase II holoenzyme; essential for transcriptional regulation; target of the global repressor Tup1p,NA,4 H_1
MATa-YDR311W,Mat-a,23670,YDR311W,S000002719,851906,TFB1,"Subunit of TFIIH and nucleotide excision repair factor 3 complexes, required for nucleotide excision repair, target for transcriptional activators; relocalizes to the cytosol in response to hypoxia",NA,4 H_2
MATa-YDR324C,Mat-a,23683,YDR324C,S000002732,851924,UTP4,Subunit of U3-containing 90S preribosome and Small Subunit (SSU) processome complexes involved in production of 18S rRNA and assembly of small ribosomal subunit; member of t-Utp subcomplex involved with transcription of 35S rRNA transcript,NA,4 H_3
MATa-YDR331W,Mat-a,23690,YDR331W,S000002739,851931,GPI8,ER membrane glycoprotein subunit of the glycosylphosphatidylinositol transamidase complex that adds glycosylphosphatidylinositol (GPI) anchors to newly synthesized proteins; human PIG-K protein is a functional homolog,NA,4 H_5
MATa-YDR339C,Mat-a,NA,YDR339C,NA,NA,YDR339C,NA,NA,4 H_6
MATa-YDR341C,Mat-a,24180,YDR341C,S000002749,851942,YDR341C,"Arginyl-tRNA synthetase; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YDR341C has a paralog, MSR1, that arose from the whole genome duplication",NA,4 H_7
MATa-YDR353W,Mat-a,24190,YDR353W,S000002761,851955,TRR1,"Cytoplasmic thioredoxin reductase; key regulatory enzyme that determines the redox state of the thioredoxin system, which acts as a disulfide reductase system and protects cells against both oxidative and reductive stress; protein abundance increases in response to DNA replication stress; TRR1 has a paralog, TRR2, that arose from the whole genome duplication",NA,4 H_8
MATa-YDR355C,Mat-a,24192,YDR355C,NA,NA,NA,NA,"Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified essential ORF SPC110/YDR356W",4 H_9
MATa-YDR356W,Mat-a,24193,YDR356W,S000002764,851957,SPC110,"Inner plaque spindle pole body (SPB) component, ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner",NA,4 H_10
MATa-YDR361C,Mat-a,24198,YDR361C,S000002769,851963,BCP1,"Essential protein involved in nuclear export of Mss4p, which is a lipid kinase that generates phosphatidylinositol 4,5-biphosphate and plays a role in actin cytoskeleton organization and vesicular transport",NA,4 H_11
MATa-YDR362C,Mat-a,24199,YDR362C,S000002770,851964,TFC6,One of six subunits of RNA polymerase III transcription initiation factor complex (TFIIIC); part of TFIIIC TauB domain that binds BoxB promoter sites of tRNA and other genes; cooperates with Tfc3p in DNA binding; human homolog is TFIIIC-110,NA,4 H_12
MATa-YDR365C,Mat-a,24202,YDR365C,S000002773,851969,ESF1,Nucleolar protein involved in pre-rRNA processing; depletion causes severely decreased 18S rRNA levels,NA,5 A_1
MATa-YDR367W,Mat-a,NA,YDR367W,NA,NA,YDR367W,NA,NA,5 A_2
MATa-YDR373W,Mat-a,24209,YDR373W,S000002781,851979,FRQ1,N-myristoylated calcium-binding protein that may have a role in intracellular signaling through its regulation of the phosphatidylinositol 4-kinase Pik1p; member of the recoverin/frequenin branch of the EF-hand superfamily,NA,5 A_3
MATa-YDR376W,Mat-a,24212,YDR376W,S000002784,851982,ARH1,"Oxidoreductase of the mitochondrial inner membrane, involved in cytoplasmic and mitochondrial iron homeostasis and required for activity of Fe-S cluster-containing enzymes; one of the few mitochondrial proteins essential for viability",NA,5 A_4
MATa-YDR381W,Mat-a,24217,YDR381W,S000002789,851988,YRA1,"Nuclear polyadenylated RNA-binding protein; required for export of poly(A)+ mRNA from the nucleus; proposed to couple mRNA export with 3' end processing via its interactions with Mex67p and Pcf11p; interacts with DBP2; inhibits the helicase activity of Dbp2; functionally redundant with Yra2p, another REF family member",NA,5 A_5
MATa-YDR390C,Mat-a,24226,YDR390C,S000002798,851998,UBA2,"Subunit of a heterodimeric nuclear SUMO activating enzyme (E1) with Aos1p; activates Smt3p (SUMO) before its conjugation to proteins (sumoylation), which may play a role in protein targeting; essential for viability",NA,5 A_6
MATa-YDR397C,Mat-a,24233,YDR397C,S000002805,852006,NCB2,Subunit of a heterodimeric NC2 transcription regulator complex with Bur6p; complex binds to TBP and can repress transcription by preventing preinitiation complex assembly or stimulate activated transcription; homologous to human NC2beta,NA,5 A_8
MATa-YDR398W,Mat-a,24234,YDR398W,S000002806,852007,UTP5,Subunit of U3-containing Small Subunit (SSU) processome complex involved in production of 18S rRNA and assembly of small ribosomal subunit,NA,5 A_9
MATa-YDR404C,Mat-a,24240,YDR404C,S000002812,852013,RPB7,RNA polymerase II subunit B16; forms two subunit dissociable complex with Rpb4p; involved in recruitment of 3'-end processing factors to transcribing RNA polymerase II complex and in export of mRNA to cytoplasm under stress conditions; also involved in translation initiation,NA,5 A_10
MATa-YDR407C,Mat-a,24243,YDR407C,S000002815,852016,TRS120,One of 10 subunits of the transport protein particle (TRAPP) complex of the cis-Golgi which mediates vesicle docking and fusion; involved in endoplasmic reticulum (ER) to Golgi membrane traffic,NA,5 A_11
MATa-YDR412W,Mat-a,NA,YDR412W,NA,NA,YDR412W,NA,NA,5 A_12
MATa-YDR429C,Mat-a,24265,YDR429C,S000002837,852039,TIF35,"eIF3g subunit of the core complex of translation initiation factor 3 (eIF3), which is essential for translation; stimulates resumption of ribosomal scanning during translation reinitiation",NA,5 B_4
MATa-YDR434W,Mat-a,24270,YDR434W,S000002842,852044,GPI17,Transmembrane protein subunit of the glycosylphosphatidylinositol transamidase complex that adds GPIs to newly synthesized proteins; human PIG-S homolog,NA,5 B_5
MATa-YDR437W,Mat-a,NA,YDR437W,NA,NA,YDR437W,NA,NA,5 B_6
MATa-YDR454C,Mat-a,24288,YDR454C,S000002862,852065,GUK1,"Guanylate kinase, converts GMP to GDP; required for growth and mannose outer chain elongation of cell wall N-linked glycoproteins",NA,5 B_8
MATa-YDR460W,Mat-a,24294,YDR460W,S000002868,852071,TFB3,"Subunit of TFIIH and nucleotide excision repair factor 3 complexes, involved in transcription initiation, required for nucleotide excision repair; ring finger protein similar to mammalian CAK and TFIIH subunit",NA,5 B_9
